domain,comparison,stack_index,from_index,to_index,absolute_shift
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,228,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,229,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,231,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,232,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,233,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,234,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,237,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,238,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,239,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,240,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,241,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,242,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,244,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,245,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,247,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,248,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,251,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,252,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,255,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,257,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,258,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,259,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,262,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,265,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,267,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,268,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,269,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,270,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,271,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,273,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,275,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,276,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,277,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,278,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,279,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,280,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,282,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,285,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,286,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,288,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,289,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,290,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,291,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,294,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,297,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,299,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,302,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,303,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,304,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,305,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,312,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,314,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,315,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,316,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,318,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,319,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,320,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,321,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,323,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,324,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,327,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,329,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,330,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,331,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,333,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,334,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,335,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,337,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,338,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,343,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,345,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,347,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,350,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,351,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,352,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,356,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,357,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,358,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,359,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,360,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,365,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,366,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,371,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,373,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,376,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,377,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,379,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,381,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,383,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,385,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,386,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,387,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,388,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,390,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,391,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,393,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,394,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,395,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,398,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,399,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,400,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,401,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,402,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,405,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,409,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,416,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,417,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,421,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,423,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,424,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,425,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,427,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,428,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,429,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,430,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,431,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,432,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,433,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,437,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,440,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,441,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,447,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,448,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,450,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,451,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,452,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,457,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,458,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,459,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,461,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,462,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,463,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,466,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,469,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,471,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,473,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,476,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,477,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,479,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,481,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,482,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,484,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,485,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,494,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,498,6,5,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,503,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,504,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,507,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,508,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,509,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,510,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,513,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,514,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,517,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,519,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,520,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,527,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,528,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,538,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,551,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,553,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,554,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,556,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,557,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,558,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,559,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,571,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,573,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,579,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,580,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,584,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,587,5,8,3
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,591,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,594,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,596,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,597,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,599,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,600,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,601,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,602,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,617,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,618,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,619,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,620,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,622,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,624,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,627,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,633,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,638,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,641,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,642,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,647,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,652,5,8,3
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,657,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,659,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,661,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,663,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,670,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,671,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,673,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,677,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,678,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,679,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,688,5,8,3
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,689,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,690,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,696,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,697,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,699,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,700,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,701,5,8,3
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,704,5,8,3
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,705,5,8,3
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,706,5,8,3
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,709,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,710,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,711,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,714,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,716,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,717,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,718,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,719,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,720,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,722,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,724,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,725,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,726,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,727,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,728,6,8,2
