domain,comparison,from_index,to_index,count
WBC,REF-A_full_vs_REF-C_disjoint_four,1,8,1
WBC,REF-A_full_vs_REF-C_disjoint_four,2,2,3
WBC,REF-A_full_vs_REF-C_disjoint_four,2,6,1
WBC,REF-A_full_vs_REF-C_disjoint_four,3,2,1
WBC,REF-A_full_vs_REF-C_disjoint_four,3,3,6
WBC,REF-A_full_vs_REF-C_disjoint_four,3,4,4
WBC,REF-A_full_vs_REF-C_disjoint_four,3,5,4
WBC,REF-A_full_vs_REF-C_disjoint_four,3,6,4
WBC,REF-A_full_vs_REF-C_disjoint_four,4,3,1
WBC,REF-A_full_vs_REF-C_disjoint_four,4,4,415
WBC,REF-A_full_vs_REF-C_disjoint_four,4,5,127
WBC,REF-A_full_vs_REF-C_disjoint_four,4,6,114
WBC,REF-A_full_vs_REF-C_disjoint_four,4,7,87
WBC,REF-A_full_vs_REF-C_disjoint_four,4,8,40
WBC,REF-A_full_vs_REF-C_disjoint_four,5,4,45
WBC,REF-A_full_vs_REF-C_disjoint_four,5,5,7524
WBC,REF-A_full_vs_REF-C_disjoint_four,5,6,1426
WBC,REF-A_full_vs_REF-C_disjoint_four,5,7,2162
WBC,REF-A_full_vs_REF-C_disjoint_four,5,8,2439
WBC,REF-A_full_vs_REF-C_disjoint_four,6,1,1
WBC,REF-A_full_vs_REF-C_disjoint_four,6,2,1
WBC,REF-A_full_vs_REF-C_disjoint_four,6,3,1
WBC,REF-A_full_vs_REF-C_disjoint_four,6,5,104
WBC,REF-A_full_vs_REF-C_disjoint_four,6,6,3832
WBC,REF-A_full_vs_REF-C_disjoint_four,6,7,1388
WBC,REF-A_full_vs_REF-C_disjoint_four,6,8,3935
WBC,REF-A_full_vs_REF-C_disjoint_four,7,5,1
WBC,REF-A_full_vs_REF-C_disjoint_four,7,6,10
WBC,REF-A_full_vs_REF-C_disjoint_four,7,7,420
WBC,REF-A_full_vs_REF-C_disjoint_four,7,8,1149
WBC,REF-A_full_vs_REF-C_disjoint_four,8,8,518
WBC,REF-A_LOO_tenengrad_vs_REF-A_full,1,1,9
WBC,REF-A_LOO_tenengrad_vs_REF-A_full,1,5,1
WBC,REF-A_LOO_tenengrad_vs_REF-A_full,2,2,4
WBC,REF-A_LOO_tenengrad_vs_REF-A_full,3,3,19
WBC,REF-A_LOO_tenengrad_vs_REF-A_full,3,4,6
WBC,REF-A_LOO_tenengrad_vs_REF-A_full,3,5,3
WBC,REF-A_LOO_tenengrad_vs_REF-A_full,4,4,771
WBC,REF-A_LOO_tenengrad_vs_REF-A_full,4,5,197
WBC,REF-A_LOO_tenengrad_vs_REF-A_full,4,6,2
WBC,REF-A_LOO_tenengrad_vs_REF-A_full,5,4,7
WBC,REF-A_LOO_tenengrad_vs_REF-A_full,5,5,13350
WBC,REF-A_LOO_tenengrad_vs_REF-A_full,5,6,615
WBC,REF-A_LOO_tenengrad_vs_REF-A_full,5,7,6
WBC,REF-A_LOO_tenengrad_vs_REF-A_full,6,1,1
WBC,REF-A_LOO_tenengrad_vs_REF-A_full,6,5,43
WBC,REF-A_LOO_tenengrad_vs_REF-A_full,6,6,8626
WBC,REF-A_LOO_tenengrad_vs_REF-A_full,6,7,100
WBC,REF-A_LOO_tenengrad_vs_REF-A_full,7,5,1
WBC,REF-A_LOO_tenengrad_vs_REF-A_full,7,6,19
WBC,REF-A_LOO_tenengrad_vs_REF-A_full,7,7,1458
WBC,REF-A_LOO_tenengrad_vs_REF-A_full,7,8,9
WBC,REF-A_LOO_tenengrad_vs_REF-A_full,8,5,1
WBC,REF-A_LOO_tenengrad_vs_REF-A_full,8,7,16
WBC,REF-A_LOO_tenengrad_vs_REF-A_full,8,8,509
WBC,REF-A_LOO_brenner_gradient_vs_REF-A_full,1,1,10
WBC,REF-A_LOO_brenner_gradient_vs_REF-A_full,1,5,1
WBC,REF-A_LOO_brenner_gradient_vs_REF-A_full,2,2,4
WBC,REF-A_LOO_brenner_gradient_vs_REF-A_full,3,3,17
WBC,REF-A_LOO_brenner_gradient_vs_REF-A_full,3,4,2
WBC,REF-A_LOO_brenner_gradient_vs_REF-A_full,3,5,1
WBC,REF-A_LOO_brenner_gradient_vs_REF-A_full,4,3,1
WBC,REF-A_LOO_brenner_gradient_vs_REF-A_full,4,4,756
WBC,REF-A_LOO_brenner_gradient_vs_REF-A_full,4,5,142
WBC,REF-A_LOO_brenner_gradient_vs_REF-A_full,5,3,1
WBC,REF-A_LOO_brenner_gradient_vs_REF-A_full,5,4,26
WBC,REF-A_LOO_brenner_gradient_vs_REF-A_full,5,5,13368
WBC,REF-A_LOO_brenner_gradient_vs_REF-A_full,5,6,382
WBC,REF-A_LOO_brenner_gradient_vs_REF-A_full,5,7,4
WBC,REF-A_LOO_brenner_gradient_vs_REF-A_full,6,5,81
WBC,REF-A_LOO_brenner_gradient_vs_REF-A_full,6,6,8858
WBC,REF-A_LOO_brenner_gradient_vs_REF-A_full,6,7,53
WBC,REF-A_LOO_brenner_gradient_vs_REF-A_full,6,8,1
WBC,REF-A_LOO_brenner_gradient_vs_REF-A_full,7,5,2
WBC,REF-A_LOO_brenner_gradient_vs_REF-A_full,7,6,22
WBC,REF-A_LOO_brenner_gradient_vs_REF-A_full,7,7,1516
WBC,REF-A_LOO_brenner_gradient_vs_REF-A_full,7,8,6
WBC,REF-A_LOO_brenner_gradient_vs_REF-A_full,8,5,1
WBC,REF-A_LOO_brenner_gradient_vs_REF-A_full,8,7,7
WBC,REF-A_LOO_brenner_gradient_vs_REF-A_full,8,8,511
WBC,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,1,1,10
WBC,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,1,4,1
WBC,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,2,2,4
WBC,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,3,3,16
WBC,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,4,3,2
WBC,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,4,4,749
WBC,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,5,3,1
WBC,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,5,4,34
WBC,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,5,5,13475
WBC,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,5,6,1
WBC,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,6,5,118
WBC,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,6,6,9243
WBC,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,7,5,3
WBC,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,7,6,18
WBC,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,7,7,1575
WBC,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,8,7,5
WBC,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,8,8,518
WBC,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,1,1,10
WBC,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,1,4,1
WBC,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,2,2,4
WBC,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,3,3,17
WBC,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,4,3,2
WBC,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,4,4,751
WBC,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,5,4,32
WBC,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,5,5,13485
WBC,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,5,6,1
WBC,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,6,5,108
WBC,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,6,6,9243
WBC,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,7,5,3
WBC,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,7,6,18
WBC,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,7,7,1577
WBC,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,8,7,3
WBC,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,8,8,518
WBC,REF-A_LOO_normalized_variance_vs_REF-A_full,1,1,10
WBC,REF-A_LOO_normalized_variance_vs_REF-A_full,2,2,4
WBC,REF-A_LOO_normalized_variance_vs_REF-A_full,3,3,19
WBC,REF-A_LOO_normalized_variance_vs_REF-A_full,4,4,784
WBC,REF-A_LOO_normalized_variance_vs_REF-A_full,4,5,1
WBC,REF-A_LOO_normalized_variance_vs_REF-A_full,5,5,13595
WBC,REF-A_LOO_normalized_variance_vs_REF-A_full,5,6,2
WBC,REF-A_LOO_normalized_variance_vs_REF-A_full,5,7,1
WBC,REF-A_LOO_normalized_variance_vs_REF-A_full,6,6,9260
WBC,REF-A_LOO_normalized_variance_vs_REF-A_full,6,7,1
WBC,REF-A_LOO_normalized_variance_vs_REF-A_full,6,8,2
WBC,REF-A_LOO_normalized_variance_vs_REF-A_full,7,7,1578
WBC,REF-A_LOO_normalized_variance_vs_REF-A_full,7,8,20
WBC,REF-A_LOO_normalized_variance_vs_REF-A_full,8,8,496
WBC,REF-A_LOO_energy_of_gradient_vs_REF-A_full,1,1,9
WBC,REF-A_LOO_energy_of_gradient_vs_REF-A_full,1,5,1
WBC,REF-A_LOO_energy_of_gradient_vs_REF-A_full,2,2,4
WBC,REF-A_LOO_energy_of_gradient_vs_REF-A_full,3,3,19
WBC,REF-A_LOO_energy_of_gradient_vs_REF-A_full,3,4,6
WBC,REF-A_LOO_energy_of_gradient_vs_REF-A_full,3,5,3
WBC,REF-A_LOO_energy_of_gradient_vs_REF-A_full,4,4,771
WBC,REF-A_LOO_energy_of_gradient_vs_REF-A_full,4,5,197
WBC,REF-A_LOO_energy_of_gradient_vs_REF-A_full,4,6,2
WBC,REF-A_LOO_energy_of_gradient_vs_REF-A_full,5,4,7
WBC,REF-A_LOO_energy_of_gradient_vs_REF-A_full,5,5,13350
WBC,REF-A_LOO_energy_of_gradient_vs_REF-A_full,5,6,615
WBC,REF-A_LOO_energy_of_gradient_vs_REF-A_full,5,7,6
WBC,REF-A_LOO_energy_of_gradient_vs_REF-A_full,6,1,1
WBC,REF-A_LOO_energy_of_gradient_vs_REF-A_full,6,5,43
WBC,REF-A_LOO_energy_of_gradient_vs_REF-A_full,6,6,8626
WBC,REF-A_LOO_energy_of_gradient_vs_REF-A_full,6,7,100
WBC,REF-A_LOO_energy_of_gradient_vs_REF-A_full,7,5,1
WBC,REF-A_LOO_energy_of_gradient_vs_REF-A_full,7,6,19
WBC,REF-A_LOO_energy_of_gradient_vs_REF-A_full,7,7,1458
WBC,REF-A_LOO_energy_of_gradient_vs_REF-A_full,7,8,9
WBC,REF-A_LOO_energy_of_gradient_vs_REF-A_full,8,5,1
WBC,REF-A_LOO_energy_of_gradient_vs_REF-A_full,8,7,16
WBC,REF-A_LOO_energy_of_gradient_vs_REF-A_full,8,8,509
WBC,REF-A_LOO_histogram_entropy_vs_REF-A_full,1,1,10
WBC,REF-A_LOO_histogram_entropy_vs_REF-A_full,2,2,4
WBC,REF-A_LOO_histogram_entropy_vs_REF-A_full,3,3,18
WBC,REF-A_LOO_histogram_entropy_vs_REF-A_full,4,3,1
WBC,REF-A_LOO_histogram_entropy_vs_REF-A_full,4,4,775
WBC,REF-A_LOO_histogram_entropy_vs_REF-A_full,5,4,9
WBC,REF-A_LOO_histogram_entropy_vs_REF-A_full,5,5,13558
WBC,REF-A_LOO_histogram_entropy_vs_REF-A_full,5,6,5
WBC,REF-A_LOO_histogram_entropy_vs_REF-A_full,5,7,2
WBC,REF-A_LOO_histogram_entropy_vs_REF-A_full,6,5,38
WBC,REF-A_LOO_histogram_entropy_vs_REF-A_full,6,6,9252
WBC,REF-A_LOO_histogram_entropy_vs_REF-A_full,6,7,2
WBC,REF-A_LOO_histogram_entropy_vs_REF-A_full,6,8,2
WBC,REF-A_LOO_histogram_entropy_vs_REF-A_full,7,6,5
WBC,REF-A_LOO_histogram_entropy_vs_REF-A_full,7,7,1576
WBC,REF-A_LOO_histogram_entropy_vs_REF-A_full,7,8,18
WBC,REF-A_LOO_histogram_entropy_vs_REF-A_full,8,8,498
WBC,REF-A_LOO_glcm_contrast_vs_REF-A_full,1,1,10
WBC,REF-A_LOO_glcm_contrast_vs_REF-A_full,1,4,1
WBC,REF-A_LOO_glcm_contrast_vs_REF-A_full,1,5,1
WBC,REF-A_LOO_glcm_contrast_vs_REF-A_full,2,2,4
WBC,REF-A_LOO_glcm_contrast_vs_REF-A_full,3,3,17
WBC,REF-A_LOO_glcm_contrast_vs_REF-A_full,4,3,1
WBC,REF-A_LOO_glcm_contrast_vs_REF-A_full,4,4,756
WBC,REF-A_LOO_glcm_contrast_vs_REF-A_full,4,5,38
WBC,REF-A_LOO_glcm_contrast_vs_REF-A_full,5,3,1
WBC,REF-A_LOO_glcm_contrast_vs_REF-A_full,5,4,27
WBC,REF-A_LOO_glcm_contrast_vs_REF-A_full,5,5,13457
WBC,REF-A_LOO_glcm_contrast_vs_REF-A_full,5,6,144
WBC,REF-A_LOO_glcm_contrast_vs_REF-A_full,5,7,3
WBC,REF-A_LOO_glcm_contrast_vs_REF-A_full,6,5,98
WBC,REF-A_LOO_glcm_contrast_vs_REF-A_full,6,6,9098
WBC,REF-A_LOO_glcm_contrast_vs_REF-A_full,6,7,31
WBC,REF-A_LOO_glcm_contrast_vs_REF-A_full,6,8,1
WBC,REF-A_LOO_glcm_contrast_vs_REF-A_full,7,5,2
WBC,REF-A_LOO_glcm_contrast_vs_REF-A_full,7,6,20
WBC,REF-A_LOO_glcm_contrast_vs_REF-A_full,7,7,1537
WBC,REF-A_LOO_glcm_contrast_vs_REF-A_full,7,8,6
WBC,REF-A_LOO_glcm_contrast_vs_REF-A_full,8,7,9
WBC,REF-A_LOO_glcm_contrast_vs_REF-A_full,8,8,511
WBC,REF-A_LOO_variance_of_gradient_vs_REF-A_full,1,1,9
WBC,REF-A_LOO_variance_of_gradient_vs_REF-A_full,2,2,4
WBC,REF-A_LOO_variance_of_gradient_vs_REF-A_full,3,3,17
WBC,REF-A_LOO_variance_of_gradient_vs_REF-A_full,3,4,4
WBC,REF-A_LOO_variance_of_gradient_vs_REF-A_full,3,5,2
WBC,REF-A_LOO_variance_of_gradient_vs_REF-A_full,4,3,1
WBC,REF-A_LOO_variance_of_gradient_vs_REF-A_full,4,4,754
WBC,REF-A_LOO_variance_of_gradient_vs_REF-A_full,4,5,19
WBC,REF-A_LOO_variance_of_gradient_vs_REF-A_full,5,3,1
WBC,REF-A_LOO_variance_of_gradient_vs_REF-A_full,5,4,26
WBC,REF-A_LOO_variance_of_gradient_vs_REF-A_full,5,5,13469
WBC,REF-A_LOO_variance_of_gradient_vs_REF-A_full,5,6,108
WBC,REF-A_LOO_variance_of_gradient_vs_REF-A_full,5,7,3
WBC,REF-A_LOO_variance_of_gradient_vs_REF-A_full,6,1,1
WBC,REF-A_LOO_variance_of_gradient_vs_REF-A_full,6,5,102
WBC,REF-A_LOO_variance_of_gradient_vs_REF-A_full,6,6,9134
WBC,REF-A_LOO_variance_of_gradient_vs_REF-A_full,6,7,19
WBC,REF-A_LOO_variance_of_gradient_vs_REF-A_full,7,5,4
WBC,REF-A_LOO_variance_of_gradient_vs_REF-A_full,7,6,20
WBC,REF-A_LOO_variance_of_gradient_vs_REF-A_full,7,7,1546
WBC,REF-A_LOO_variance_of_gradient_vs_REF-A_full,7,8,4
WBC,REF-A_LOO_variance_of_gradient_vs_REF-A_full,8,7,12
WBC,REF-A_LOO_variance_of_gradient_vs_REF-A_full,8,8,514
WBC,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,1,1,9
WBC,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,2,2,4
WBC,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,3,3,18
WBC,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,3,4,3
WBC,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,3,5,4
WBC,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,4,3,1
WBC,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,4,4,768
WBC,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,4,5,197
WBC,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,4,6,2
WBC,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,5,4,13
WBC,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,5,5,13354
WBC,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,5,6,583
WBC,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,5,7,2
WBC,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,6,1,1
WBC,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,6,5,39
WBC,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,6,6,8660
WBC,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,6,7,95
WBC,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,6,8,1
WBC,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,7,5,1
WBC,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,7,6,17
WBC,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,7,7,1481
WBC,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,7,8,18
WBC,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,8,5,1
WBC,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,8,7,2
WBC,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,8,8,499
TBI,REF-A_full_vs_REF-B_corrected_ten,3,3,1
TBI,REF-A_full_vs_REF-B_corrected_ten,5,5,25
TBI,REF-A_full_vs_REF-B_corrected_ten,6,6,4
TBI,REF-B_corrected_ten_vs_REF-C_disjoint_four,3,3,1
TBI,REF-B_corrected_ten_vs_REF-C_disjoint_four,5,5,25
TBI,REF-B_corrected_ten_vs_REF-C_disjoint_four,6,6,4
TBI,REF-A_full_vs_REF-C_disjoint_four,3,3,1
TBI,REF-A_full_vs_REF-C_disjoint_four,5,5,25
TBI,REF-A_full_vs_REF-C_disjoint_four,6,6,4
TBI,REF-A_LOO_tenengrad_vs_REF-A_full,3,3,1
TBI,REF-A_LOO_tenengrad_vs_REF-A_full,5,5,25
TBI,REF-A_LOO_tenengrad_vs_REF-A_full,6,6,4
TBI,REF-A_LOO_brenner_gradient_vs_REF-A_full,3,3,1
TBI,REF-A_LOO_brenner_gradient_vs_REF-A_full,5,5,25
TBI,REF-A_LOO_brenner_gradient_vs_REF-A_full,6,6,4
TBI,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,3,3,1
TBI,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,5,5,25
TBI,REF-A_LOO_variance_of_laplacian_vs_REF-A_full,6,6,4
TBI,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,3,3,1
TBI,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,5,5,25
TBI,REF-A_LOO_sum_modified_laplacian_vs_REF-A_full,6,6,4
TBI,REF-A_LOO_normalized_variance_vs_REF-A_full,3,3,1
TBI,REF-A_LOO_normalized_variance_vs_REF-A_full,5,5,25
TBI,REF-A_LOO_normalized_variance_vs_REF-A_full,6,6,4
TBI,REF-A_LOO_energy_of_gradient_vs_REF-A_full,3,3,1
TBI,REF-A_LOO_energy_of_gradient_vs_REF-A_full,5,5,25
TBI,REF-A_LOO_energy_of_gradient_vs_REF-A_full,6,6,4
TBI,REF-A_LOO_histogram_entropy_vs_REF-A_full,3,3,1
TBI,REF-A_LOO_histogram_entropy_vs_REF-A_full,5,5,25
TBI,REF-A_LOO_histogram_entropy_vs_REF-A_full,6,6,4
TBI,REF-A_LOO_glcm_contrast_vs_REF-A_full,3,3,1
TBI,REF-A_LOO_glcm_contrast_vs_REF-A_full,5,5,25
TBI,REF-A_LOO_glcm_contrast_vs_REF-A_full,6,6,4
TBI,REF-A_LOO_variance_of_gradient_vs_REF-A_full,3,3,1
TBI,REF-A_LOO_variance_of_gradient_vs_REF-A_full,5,5,25
TBI,REF-A_LOO_variance_of_gradient_vs_REF-A_full,6,6,4
TBI,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,3,3,1
TBI,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,5,5,25
TBI,REF-A_LOO_fourier_transform_sharpness_index_vs_REF-A_full,6,6,4
PBS,REF-A_full_vs_REF-B_corrected_ten,1,1,10
PBS,REF-A_full_vs_REF-B_corrected_ten,2,2,6
PBS,REF-A_full_vs_REF-B_corrected_ten,3,3,8
PBS,REF-A_full_vs_REF-B_corrected_ten,4,4,6
PBS,REF-A_full_vs_REF-B_corrected_ten,5,5,3
PBS,REF-A_full_vs_REF-B_corrected_ten,6,6,6
PBS,REF-A_full_vs_REF-B_corrected_ten,7,7,12
PBS,REF-A_full_vs_REF-B_corrected_ten,8,8,12
PBS,REF-A_full_vs_REF-B_corrected_ten,9,9,8
PBS,REF-A_full_vs_REF-B_corrected_ten,10,10,5
PBS,REF-A_full_vs_REF-B_corrected_ten,11,11,1
PBS,REF-B_corrected_ten_vs_REF-C_disjoint_four,1,1,4
PBS,REF-B_corrected_ten_vs_REF-C_disjoint_four,1,3,2
PBS,REF-B_corrected_ten_vs_REF-C_disjoint_four,1,5,2
PBS,REF-B_corrected_ten_vs_REF-C_disjoint_four,1,7,2
PBS,REF-B_corrected_ten_vs_REF-C_disjoint_four,2,2,4
PBS,REF-B_corrected_ten_vs_REF-C_disjoint_four,2,3,2
PBS,REF-B_corrected_ten_vs_REF-C_disjoint_four,3,3,4
PBS,REF-B_corrected_ten_vs_REF-C_disjoint_four,3,6,3
PBS,REF-B_corrected_ten_vs_REF-C_disjoint_four,3,11,1
PBS,REF-B_corrected_ten_vs_REF-C_disjoint_four,4,4,4
PBS,REF-B_corrected_ten_vs_REF-C_disjoint_four,4,5,1
PBS,REF-B_corrected_ten_vs_REF-C_disjoint_four,4,6,1
PBS,REF-B_corrected_ten_vs_REF-C_disjoint_four,5,5,3
PBS,REF-B_corrected_ten_vs_REF-C_disjoint_four,6,6,5
PBS,REF-B_corrected_ten_vs_REF-C_disjoint_four,6,7,1
PBS,REF-B_corrected_ten_vs_REF-C_disjoint_four,7,6,1
PBS,REF-B_corrected_ten_vs_REF-C_disjoint_four,7,7,11
PBS,REF-B_corrected_ten_vs_REF-C_disjoint_four,8,8,9
PBS,REF-B_corrected_ten_vs_REF-C_disjoint_four,8,10,1
PBS,REF-B_corrected_ten_vs_REF-C_disjoint_four,8,12,2
PBS,REF-B_corrected_ten_vs_REF-C_disjoint_four,9,9,7
PBS,REF-B_corrected_ten_vs_REF-C_disjoint_four,9,11,1
PBS,REF-B_corrected_ten_vs_REF-C_disjoint_four,10,10,3
PBS,REF-B_corrected_ten_vs_REF-C_disjoint_four,10,11,1
PBS,REF-B_corrected_ten_vs_REF-C_disjoint_four,10,12,1
PBS,REF-B_corrected_ten_vs_REF-C_disjoint_four,11,11,1
PBS,REF-A_full_vs_REF-C_disjoint_four,1,1,4
PBS,REF-A_full_vs_REF-C_disjoint_four,1,3,2
PBS,REF-A_full_vs_REF-C_disjoint_four,1,5,2
PBS,REF-A_full_vs_REF-C_disjoint_four,1,7,2
PBS,REF-A_full_vs_REF-C_disjoint_four,2,2,4
PBS,REF-A_full_vs_REF-C_disjoint_four,2,3,2
PBS,REF-A_full_vs_REF-C_disjoint_four,3,3,4
PBS,REF-A_full_vs_REF-C_disjoint_four,3,6,3
PBS,REF-A_full_vs_REF-C_disjoint_four,3,11,1
PBS,REF-A_full_vs_REF-C_disjoint_four,4,4,4
PBS,REF-A_full_vs_REF-C_disjoint_four,4,5,1
PBS,REF-A_full_vs_REF-C_disjoint_four,4,6,1
PBS,REF-A_full_vs_REF-C_disjoint_four,5,5,3
PBS,REF-A_full_vs_REF-C_disjoint_four,6,6,5
PBS,REF-A_full_vs_REF-C_disjoint_four,6,7,1
PBS,REF-A_full_vs_REF-C_disjoint_four,7,6,1
PBS,REF-A_full_vs_REF-C_disjoint_four,7,7,11
PBS,REF-A_full_vs_REF-C_disjoint_four,8,8,9
